ProductID,Name,Description,OrderCode,Brand,Size,Qty,Value,Discount,ValueIncVAT,ValueExcVAT,TotCost,Margin,MarginPerc
2160051,Doble Cara A4 Color,Doble Cara A4 Color,,,,513,410.40000,14.74000,395.66000,360.60000,25.65000,334.95000,0.92887
2156338,10 Colores Mickey,10 Colores Mickey,,,,1,5.89000,0.00000,5.89000,4.87000,3.46000,1.41000,0.28953
2154194,1200 Amarillo C-005,1200 Amarillo C-005,,,,2,2.40000,0.00000,2.40000,1.98000,0.92000,1.06000,0.53535
2154182,1200 Azul C-010,1200 Azul C-010,,,,2,2.40000,0.00000,2.40000,1.98000,0.92000,1.06000,0.53535
2154202,1200 Naranja Fluo C-066,1200 Naranja Fluo C-066,,,,2,2.40000,0.00000,2.40000,1.98000,0.92000,1.06000,0.53535
2154208,1200 Oro C-053,1200 Oro C-053,,,,1,1.95000,0.00000,1.95000,1.61000,1.00000,0.61000,0.37888
2154178,1200 Rojo C-002,1200 Rojo C-002,,,,2,2.40000,0.00000,2.40000,1.98000,0.92000,1.06000,0.53535
2154207,1200 Verde Fluo C-011,1200 Verde Fluo C-011,,,,3,3.60000,0.00000,3.60000,2.97000,1.38000,1.59000,0.53535
2154185,1200 Verde Oscuro C-004,1200 Verde Oscuro C-004,,,,2,2.40000,0.00000,2.40000,1.98000,0.92000,1.06000,0.53535
2160065,1ª Página,1ª Página,,,,167,167.00000,0.05000,166.95000,156.74000,8.35000,148.39000,0.94673
2148553,2 anillos,2 anillos,,,,3,7.50000,0.00000,7.50000,6.21000,6.00000,0.21000,0.03382
2160067,2ª Pag,2ª Pag,,,,1354,162.48000,0.00000,162.48000,149.64000,67.70000,81.94000,0.54758
2155738,4 Colores,4 Colores,,,,1,2.00000,0.00000,2.00000,1.65000,1.00000,0.65000,0.39394
2254948,4 colores basic Bic,4 colores basic Bic,,BIC,,7,17.50000,0.00000,17.50000,14.49000,8.54000,5.95000,0.41063
2155728,4 Colores Fluorecente.,4 Colores Fluorecente.,,,,1,3.05000,0.00000,3.05000,2.52000,1.54000,0.98000,0.38889
